epoch,acc,loss,lr,val_acc,val_loss
0,0.48102,1.9635821734619141,0.0010000000475,0.55379999999999996,1.6949439715385437
1,0.60504000000000002,1.4771430905532836,0.0010000000475,0.62009999999999998,1.4786781457901002
2,0.64842,1.3023990663909912,0.0010000000475,0.62180000000000002,1.3599663239479065
3,0.68545999999999996,1.1886295063781738,0.0010000000475,0.64019999999999999,1.4362112279891968
4,0.70906000000000002,1.1118082679367065,0.0010000000475,0.73819999999999997,1.0145385842800141
5,0.73092000000000001,1.0529665708923339,0.0010000000475,0.72589999999999999,1.0663829536437988
6,0.74092000000000002,1.0129939082717896,0.0010000000475,0.755,0.98195921702384947
7,0.75624000000000002,0.97733334072113032,0.0010000000475,0.75439999999999996,0.97615931830406188
8,0.75915999999999995,0.95707586174011228,0.0010000000475,0.75419999999999998,0.96329926719665526
9,0.77051999999999998,0.928997765083313,0.0010000000475,0.75329999999999997,0.98177738814353943
10,0.77464,0.91189455244064332,0.0010000000475,0.77180000000000004,0.9397981895923615
11,0.78327999999999998,0.88716061731338502,0.0010000000475,0.7823,0.89110015273094179
